INFO 2025-05-28 16:55:27,394 autoreload Watching for file changes with StatReloader
INFO 2025-05-28 16:56:16,760 connections Neo4j连接成功
INFO 2025-05-28 16:56:16,760 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 16:56:16,761 connections Redis连接成功
INFO 2025-05-28 16:56:16,761 apps === Redis实例初始化成功 ===
INFO 2025-05-28 16:56:17,101 connections MySQL连接成功
INFO 2025-05-28 16:56:17,102 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 16:56:17,804 connections API客户端初始化成功
INFO 2025-05-28 16:56:17,804 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 16:56:19,247 connections Neo4j连接成功
INFO 2025-05-28 16:56:19,248 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 16:56:19,248 connections Redis连接成功
INFO 2025-05-28 16:56:19,248 apps === Redis实例初始化成功 ===
INFO 2025-05-28 16:56:19,488 connections MySQL连接成功
INFO 2025-05-28 16:56:19,488 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 16:56:20,186 connections API客户端初始化成功
INFO 2025-05-28 16:56:20,186 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 16:56:20,196 autoreload Watching for file changes with StatReloader
INFO 2025-05-28 17:02:42,379 connections Neo4j连接成功
INFO 2025-05-28 17:02:42,379 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:02:42,380 connections Redis连接成功
INFO 2025-05-28 17:02:42,380 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:02:42,611 connections MySQL连接成功
INFO 2025-05-28 17:02:42,611 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:02:43,319 connections API客户端初始化成功
INFO 2025-05-28 17:02:43,319 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:02:44,787 connections Neo4j连接成功
INFO 2025-05-28 17:02:44,787 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:02:44,787 connections Redis连接成功
INFO 2025-05-28 17:02:44,787 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:02:45,021 connections MySQL连接成功
INFO 2025-05-28 17:02:45,022 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:02:45,725 connections API客户端初始化成功
INFO 2025-05-28 17:02:45,725 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:02:45,735 autoreload Watching for file changes with StatReloader
INFO 2025-05-28 17:04:45,198 connections Neo4j连接成功
INFO 2025-05-28 17:04:45,199 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:04:45,199 connections Redis连接成功
INFO 2025-05-28 17:04:45,199 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:04:45,430 connections MySQL连接成功
INFO 2025-05-28 17:04:45,430 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:04:46,127 connections API客户端初始化成功
INFO 2025-05-28 17:04:46,127 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:04:47,550 connections Neo4j连接成功
INFO 2025-05-28 17:04:47,550 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:04:47,551 connections Redis连接成功
INFO 2025-05-28 17:04:47,551 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:04:47,780 connections MySQL连接成功
INFO 2025-05-28 17:04:47,780 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:04:48,477 connections API客户端初始化成功
INFO 2025-05-28 17:04:48,477 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:04:48,487 autoreload Watching for file changes with StatReloader
INFO 2025-05-28 17:19:45,236 basehttp "OPTIONS /api/users/login/ HTTP/1.1" 200 0
INFO 2025-05-28 17:19:46,754 basehttp "POST /api/users/login/ HTTP/1.1" 200 526
INFO 2025-05-28 17:19:49,517 basehttp "OPTIONS /api/chat/get_session_list/?page=1&size=10 HTTP/1.1" 200 0
ERROR 2025-05-28 17:19:49,526 session 获取会话列表失败: Client sent AUTH, but no password is set
INFO 2025-05-28 17:19:49,526 views 获取会话列表成功 - 会话数: 0
INFO 2025-05-28 17:19:49,527 basehttp "GET /api/chat/get_session_list/?page=1&size=10 HTTP/1.1" 200 37
ERROR 2025-05-28 17:19:50,985 views 获取图谱数据失败: Client sent AUTH, but no password is set
ERROR 2025-05-28 17:19:50,986 log Internal Server Error: /api/knowledge/graph/
ERROR 2025-05-28 17:19:50,987 basehttp "GET /api/knowledge/graph/ HTTP/1.1" 500 78
INFO 2025-05-28 17:23:37,103 connections Neo4j连接成功
INFO 2025-05-28 17:23:37,103 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:23:37,103 connections Redis连接成功
INFO 2025-05-28 17:23:37,103 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:23:37,334 connections MySQL连接成功
INFO 2025-05-28 17:23:37,335 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:23:38,038 connections API客户端初始化成功
INFO 2025-05-28 17:23:38,039 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:23:39,474 connections Neo4j连接成功
INFO 2025-05-28 17:23:39,475 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:23:39,475 connections Redis连接成功
INFO 2025-05-28 17:23:39,475 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:23:39,705 connections MySQL连接成功
INFO 2025-05-28 17:23:39,705 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:23:40,400 connections API客户端初始化成功
INFO 2025-05-28 17:23:40,400 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:23:40,410 autoreload Watching for file changes with StatReloader
INFO 2025-05-28 17:25:19,357 connections Neo4j连接成功
INFO 2025-05-28 17:25:19,358 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:25:19,358 connections Redis连接成功
INFO 2025-05-28 17:25:19,358 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:25:19,597 connections MySQL连接成功
INFO 2025-05-28 17:25:19,597 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:25:20,305 connections API客户端初始化成功
INFO 2025-05-28 17:25:20,305 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:25:21,835 connections Neo4j连接成功
INFO 2025-05-28 17:25:21,836 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:25:21,836 connections Redis连接成功
INFO 2025-05-28 17:25:21,836 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:25:22,071 connections MySQL连接成功
INFO 2025-05-28 17:25:22,071 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:25:22,798 connections API客户端初始化成功
INFO 2025-05-28 17:25:22,798 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:25:22,807 autoreload Watching for file changes with StatReloader
INFO 2025-05-28 17:29:11,816 connections Neo4j连接成功
INFO 2025-05-28 17:29:11,816 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:29:11,817 connections Redis连接成功
INFO 2025-05-28 17:29:11,817 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:29:12,044 connections MySQL连接成功
INFO 2025-05-28 17:29:12,045 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:29:12,741 connections API客户端初始化成功
INFO 2025-05-28 17:29:12,741 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:29:14,139 connections Neo4j连接成功
INFO 2025-05-28 17:29:14,139 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:29:14,140 connections Redis连接成功
INFO 2025-05-28 17:29:14,140 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:29:14,372 connections MySQL连接成功
INFO 2025-05-28 17:29:14,373 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:29:15,068 connections API客户端初始化成功
INFO 2025-05-28 17:29:15,069 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:29:15,080 autoreload Watching for file changes with StatReloader
INFO 2025-05-28 17:30:14,101 basehttp "OPTIONS /api/users/login/ HTTP/1.1" 200 0
WARNING 2025-05-28 17:30:14,120 log Unauthorized: /api/users/login/
WARNING 2025-05-28 17:30:14,121 basehttp "POST /api/users/login/ HTTP/1.1" 401 171
INFO 2025-05-28 17:30:17,216 basehttp "POST /api/users/login/ HTTP/1.1" 200 526
ERROR 2025-05-28 17:30:18,529 views 获取图谱数据失败: Client sent AUTH, but no password is set
ERROR 2025-05-28 17:30:18,530 log Internal Server Error: /api/knowledge/graph/
ERROR 2025-05-28 17:30:18,530 basehttp "GET /api/knowledge/graph/ HTTP/1.1" 500 78
INFO 2025-05-28 17:30:27,294 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-05-28 17:30:27,305 basehttp "GET /api/users/ HTTP/1.1" 200 226
INFO 2025-05-28 17:30:43,110 basehttp "OPTIONS /api/users/register/ HTTP/1.1" 200 0
INFO 2025-05-28 17:30:43,895 basehttp "POST /api/users/register/ HTTP/1.1" 201 44
INFO 2025-05-28 17:30:43,908 basehttp "GET /api/users/ HTTP/1.1" 200 338
ERROR 2025-05-28 17:30:45,510 views 获取图谱数据失败: Client sent AUTH, but no password is set
ERROR 2025-05-28 17:30:45,512 log Internal Server Error: /api/knowledge/graph/
ERROR 2025-05-28 17:30:45,513 basehttp "GET /api/knowledge/graph/ HTTP/1.1" 500 78
INFO 2025-05-28 17:30:46,724 basehttp "OPTIONS /api/chat/get_session_list/?page=1&size=10 HTTP/1.1" 200 0
ERROR 2025-05-28 17:30:46,730 session 获取会话列表失败: Client sent AUTH, but no password is set
INFO 2025-05-28 17:30:46,730 views 获取会话列表成功 - 会话数: 0
INFO 2025-05-28 17:30:46,732 basehttp "GET /api/chat/get_session_list/?page=1&size=10 HTTP/1.1" 200 37
ERROR 2025-05-28 17:30:47,643 views 获取图谱数据失败: Client sent AUTH, but no password is set
ERROR 2025-05-28 17:30:47,644 log Internal Server Error: /api/knowledge/graph/
ERROR 2025-05-28 17:30:47,645 basehttp "GET /api/knowledge/graph/ HTTP/1.1" 500 78
INFO 2025-05-28 17:32:08,439 connections Neo4j连接成功
INFO 2025-05-28 17:32:08,439 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:32:08,440 connections Redis连接成功
INFO 2025-05-28 17:32:08,440 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:32:08,681 connections MySQL连接成功
INFO 2025-05-28 17:32:08,681 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:32:09,386 connections API客户端初始化成功
INFO 2025-05-28 17:32:09,387 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:32:11,600 graph_manager Neo4j连接成功，当前数据库有 186 个节点
INFO 2025-05-28 17:32:11,604 graph_manager Redis连接成功
INFO 2025-05-28 17:32:13,108 graph_manager 数据导入完成: 成功 45 条，失败 0 条
INFO 2025-05-28 17:32:22,452 connections Neo4j连接成功
INFO 2025-05-28 17:32:22,452 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:32:22,453 connections Redis连接成功
INFO 2025-05-28 17:32:22,453 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:32:22,695 connections MySQL连接成功
INFO 2025-05-28 17:32:22,695 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:32:23,395 connections API客户端初始化成功
INFO 2025-05-28 17:32:23,395 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:32:59,556 connections Neo4j连接成功
INFO 2025-05-28 17:32:59,556 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:32:59,556 connections Redis连接成功
INFO 2025-05-28 17:32:59,556 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:32:59,788 connections MySQL连接成功
INFO 2025-05-28 17:32:59,788 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:33:00,492 connections API客户端初始化成功
INFO 2025-05-28 17:33:00,493 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:33:02,033 connections Neo4j连接成功
INFO 2025-05-28 17:33:02,033 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:33:02,034 connections Redis连接成功
INFO 2025-05-28 17:33:02,034 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:33:02,264 connections MySQL连接成功
INFO 2025-05-28 17:33:02,265 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:33:02,984 connections API客户端初始化成功
INFO 2025-05-28 17:33:02,985 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:33:02,993 autoreload Watching for file changes with StatReloader
INFO 2025-05-28 17:33:09,939 basehttp "POST /api/users/login/ HTTP/1.1" 200 526
ERROR 2025-05-28 17:33:10,919 views 获取图谱数据失败: Client sent AUTH, but no password is set
ERROR 2025-05-28 17:33:10,920 log Internal Server Error: /api/knowledge/graph/
ERROR 2025-05-28 17:33:10,920 basehttp "GET /api/knowledge/graph/ HTTP/1.1" 500 78
INFO 2025-05-28 17:38:12,720 connections Neo4j连接成功
INFO 2025-05-28 17:38:12,721 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:38:12,721 connections Redis连接成功
INFO 2025-05-28 17:38:12,722 apps === Redis实例初始化成功 ===
INFO 2025-05-28 17:38:12,950 connections MySQL连接成功
INFO 2025-05-28 17:38:12,950 apps === MySQL实例初始化成功 ===
INFO 2025-05-28 17:38:13,653 connections API客户端初始化成功
INFO 2025-05-28 17:38:13,654 apps === OpenAI/Ark实例初始化成功 ===
INFO 2025-05-28 17:38:15,090 connections Neo4j连接成功
INFO 2025-05-28 17:38:15,090 apps === Neo4j实例初始化成功 ===
INFO 2025-05-28 17:38:15,091 connections Redis连接成功
INFO 2025-05-28 17:38:15,091 apps === Redis实例初始化成功 ===
