虫害名称(别名),分布地区,为害作物,为害特征,形态特征,生活习性,发生规律,防治措施,天敌
二星蝽(Eysacoris guttiger (Thunb.)、Stollia guttiger(Thunberg)),北起黑龙江，南至台湾、海南、广东、广西、云南，东临滨海，西至内蒙古、宁夏、甘肃，折入四川、西藏,小麦等寄主植物,成、若虫吸食寄主茎秆、叶穗部汁液，致植株生长发育受阻，籽粒不饱满,成虫体长4.5 - 5.6mm，宽3.3 - 3.8mm，头部全黑色，少数个体头基部具浅色短纵纹，咏浅黄色，长达后胸端部。触角浅黄褐色，具5节。前胸背板侧角短，背板的服区黑斑前缘可达前胸背板的前缘，小盾片末端多无明显的锚形浅色斑，在小盾片基角具2个黄白光滑的小圆斑。胸部腹面污白色，密布黑色点刻，腹部腹面黑色，节间明显，气门黑褐色。足淡褐色，密布黑色小点刻,山西年生4代，以成虫在杂草丛中、枯枝落叶下越冬，翌年3 - 4月开始活动为害，卵产于叶背面、穗芒上，数十粒排成1 - 2纵行，有的不规则，成虫有趋光性。江苏、福建8月中旬至9月中旬，成虫爬行在大豆英或叶柄上，不爱飞行,未提及,(1)成虫集中越冬或出蜇后集中为害时，利用成虫的假死性，震动植株，使虫落地，迅速收集杀死。(2)发生严重的喷洒20％灭多威乳油1500倍液,未提及
十四点负泥甲(Crioceris quaturordecimpunctata(Scopoli)、芦笋叶甲、细颈叶甲),黑龙江、吉林、辽宁、内蒙古、北京、河北、山东、江苏、浙江、福建、陕西、广西,小麦,成、幼虫啃食小麦嫩茎或叶肉，影响小麦光合作用,成虫长椭圆形，北方的成虫体长5．5 - 6．5mm，南方体长6．1 - 7．1mm，宽2．5 - 3．2mm，体棕黄色或红褐色，并具黑斑，头前端、眼四周、触角均黑色，其余褐红色。头部带黑点，触角ll节，短粗。前胸背板长略大于宽，前半部具l字形排列的黑斑4个，基部中央1个，小盾片黑色舌形，每个鞘翅上具黑斑7个，其中基部3个，肩中部2个，后部2个。体背光洁，腹部褐色或黑色。卵长l一1．25mm，宽0．25mm，初乳白色至浅黄绿色，后变深褐色。幼虫寡足型，初孵化时，虫体灰黄色至绿褐色，头、胸足、气孔黑色。2龄后乳黄色。老熟幼虫体长6mm，腹部肥胖隆起，体暗黄色光亮。3龄幼虫以后，头胸部变细，腹背隆起膨大，肛门在背面，体外常具泥状粪便。离蛹长5 - 6mm，宽2．5 - 2．9mm，鲜黄色，可见触角、足、翅等。土茧椭圆形,在山东、华北年生3 - 4代，天津年生4 - 5代，陕西5代，以成虫在麦株四周的土下或残留在地下的麦茬里越冬。翌春3月中下旬至4月上旬出土活动，4月中旬产卵。卵期3 - 9天。一代发生于5月中旬至7月下旬，6月中旬进入卵孵化盛期，7月初为幼虫为害期。幼虫期7 - 10天，共4龄。二代发生于6月下旬至9月上旬，8月上旬是卵孵化盛期和幼虫为害高峰期。三代于8月中旬至10月中旬发生。秋季气温高，降雨少的年份可发生第四代。日均温20℃，预蛹期3天，蛹期6 - 8天，成虫寿命50多天，个别百余天。成、幼虫世代重叠，成虫具假死性，能短距离飞行。幼虫行动慢，4龄进入暴食期，老熟后钻入土中2cm处结茧化蛹。成虫交尾3 - 4天后可产卵，散产在叶茎交界处或嫩叶上,未提及,(1)必要时喷洒20％灭扫利乳油2000倍液或50％抗蚜威超微可湿性粉剂2000倍液、40．7％乐斯本乳油1500倍液、50％辛硫磷乳油1500倍液、2．5％保得乳油2500倍液。,未提及
小麦吸浆虫（麦红吸浆虫、麦黄吸浆虫）,我国各麦区,小麦,以幼虫吸食麦粒浆液，导致麦粒出现瘪粒，严重时造成绝收,麦红吸浆虫：雌成虫体长2 - 2.5mm，翅展5mm左右，体桔红色。复眼大，黑色。前翅透明，有4条发达翅脉，后翅退化为平衡棍。触角细长，雌虫触角14节，念珠状，各节呈长圆形膨大，上面环生2圈刚毛。胸部发达，腹部略呈纺锤形，产卵管全部伸出。雄虫体长2mm左右，触角14节，其柄节、梗节中部不缢缩，鞭节12节，每节具2个球形膨大部分，环生刚毛。卵长0.09mm，长圆形，浅红色。幼虫体长约2 - 3mm，椭圆形，橙黄色，头小，无足，蛆形，前胸腹面有1个“Y”形剑骨片，前端分叉，凹陷深。蛹长2mm，裸蛹，橙褐色，头前方具白色短毛2根和长呼吸管1对。麦黄吸浆虫：雌体长2mm左右，体鲜黄色，产卵器伸出时与体等长。雄虫体长1.5mm，腹部末端的把握器基节内缘无齿。卵长0.29mm，香蕉形。幼虫体长2 - 2.5mm，黄绿色，体表光滑，前胸腹面有剑骨片，剑骨片前端呈弧形浅裂，腹末端生突起2个。蛹鲜黄色，头端有1对较长毛,麦红吸浆虫年生1代或多年完成一代，以末龄幼虫在土壤中结圆茧越夏或越冬。翌年当地下10cm处地温高于10℃时，小麦进入拔节阶段，越冬幼虫破茧上升到表土层，10cm地温达到15℃左右，小麦孕穗时，再结茧化蛹，蛹期8 - 10天；10cm地温20℃上下，小麦开始抽穗，麦红吸浆虫开始羽化出土，当天交配后把卵产在未扬花的麦穗上，各地成虫羽化期与小麦进入抽穗期一致。该虫畏光，中午多潜伏在麦株下部丛间，多在早、晚活动，卵多聚产在护颖与外颖、穗轴与小穗柄等处，每雌产卵60 - 70粒，成虫寿命约30多天，卵期5 - 7天，初孵幼虫从内外颖缝隙处钻入麦壳中，附在子房或刚灌浆的麦粒上为害15 - 20天，经2次蜕皮，幼虫短缩变硬，开始在麦壳里蛰伏，抵御干热天气，这时小麦已进入蜡熟期。遇有湿度大或雨露时，苏醒后再蜕一层皮爬出颖外，弹落在地上，从土缝中钻入10cm处结茧越夏或越冬。该虫有多年休眠习性，遇有春旱年份有的不能破茧化蛹，有的已破茧，又能重新结茧再次休眠，休眠期有的可长达12年。麦黄吸浆虫年生1代，成虫发生较麦红吸浆虫稍早，雌虫把卵产在初抽出的麦穗上内、外颖之间，幼虫孵化后为害花器，以后吸食灌浆的麦粒，老熟幼虫离开麦穗时间早，在土壤中耐湿、耐旱能力低于麦红吸浆虫。其他习性与麦红吸浆虫近似,吸浆虫发生与雨水、湿度关系密切，春季3 - 4月间雨水充足，利于越冬幼虫破茧上升土表、化蛹、羽化、产卵及孵化。此外，麦穗颖壳坚硬、扣和紧、种皮厚、籽粒灌浆迅速的品种受害轻。抽穗整齐，抽穗期与吸浆虫成虫发生盛期错开的品种，成虫产卵少或不产卵，可逃避其为害,(1)选用抗虫小麦品种，如徐州21号、徐州211、马场2号、洛阳851、洛阳852、樊寨4号、咸农151、武农99号、临50744等，各地可因地制宜使用。(2)调整作物布局改善农田环境，推广小麦 - 大豆、小麦或小麦、棉花一体化种植模式，优化组装综防技术。(3)狠抓各虫态防治。小麦播种前撒毒土防治土中幼虫，于播前进行土壤处理。每667m²用40％甲基异柳磷或50％辛硫磷乳油200ml，对水5kg，喷在20kg干土上，拌匀制成毒土撤施在地表，耙下或翻入土表层有效。二是在小麦孕穗期撤毒土防治幼虫和蛹，是防治该虫关键时期。当土温15℃时，小麦正处在孕穗阶段，这时吸浆虫移至土表层开始化蛹、羽化，这时是抵抗力弱的时期，南方麦区于3月下旬 - 4月上旬冬小麦拔节期；北方春麦区于5月进入拔节后，土内幼虫破茧上升土表时每667m²用40％甲基异柳磷或50％辛硫磷乳油150ml，按上法制成毒土，均匀撒在地表后，进行锄地，把毒土混入表土层中。也可在小麦抽穗前3 - 5天，于露水落干后撒毒土，毒土制法同上，可有效地灭蛹和刚羽化在表土活动的成虫。三是小麦抽穗开花期防治成虫。小麦抽穗时土温20℃，成虫羽化出土或飞到穗上产卵，这时结合防治麦蚜，喷撤甲敌粉或乙敌粉667m²用2 - 3kg，必要时喷洒40％乐果乳油或50％辛硫磷乳油或80％敌敌畏乳油2000倍液，或2.5％溴氰菊酯乳油或20％杀灭菊酯乳油4000倍液或36％克螨蝇乳油1000倍液。有条件或应急时也可用40％乐果乳油或50％辛硫磷乳油、80％敌敌畏乳油100ml，对水15kg进行超低容量喷雾。水源不方便的地区或坡地，667m²用80％敌敌畏乳油100ml，对水1 - 2kg，喷拌在20kg细土上制成毒土撒施在麦田中也有较好防效。该虫卵期较长，发生重的可连续防治2次,宽腹姬小蜂、光腹黑蜂、蚂蚁、蜘蛛等
小麦管蓟马（小麦皮蓟马、麦简管蓟马）,新疆、甘肃等省,小麦,成、若虫为害小麦花器，乳熟灌浆期吸食麦粒浆液，致麦粒灌浆不饱满或麦粒空秕。此外还为害小穗的护颖和外颖。受害颖片皱缩或枯萎，发黄或呈黑褐色，易遭病菌侵染，诱发霉烂或腐败,成虫体长1.5 - 2.2mm，体黑褐色，翅2对，边缘具长缨毛，前翅无色，仅近基部较暗。头略呈方形，3个单眼呈三角形排列在复眼间。触角8节，第3节长是宽的2倍，第3、4、5节基部较黄。腹部末端延长成管状，叫做尾管。卵长约0.45mm，长椭圆形，黄色。若虫无翅，初孵若虫浅黄色，后变橙红色，触角、尾管黑色。前蛹较2龄若虫短，浅红色，翅芽显露。伪蛹触角伸向头两侧，翅芽增长，色深,年生1代，以若虫在麦根或场面地下10cm处越冬。翌年日均温8℃时开始活动，约5月中旬进入化蛹盛期，5月中下旬羽化，6月上旬进入羽化盛期，羽化后进入麦田，在麦株上部叶片内侧叶耳、叶舌处吸食汁液，后从小麦旗叶叶鞘顶部或叶鞘缝隙处侵入尚未抽出的麦穗上，为害花器，有时一个旗叶内群集数十头至数百头成虫，待穗头抽出后，成虫又转移到未抽出或半抽出的麦穗里，成虫为害及产卵时间仅2 - 3天。成虫羽化后7 - 15天开始产卵，把卵产在麦穗顶端2 - 3个小穗基部或护颖尖端内侧，卵排列不整齐，卵期6.5 - 8.4天。7月上旬冬麦收获时，部分若虫掉到地上，就此爬至土缝中或集中在麦捆或麦堆下，大部分爬至麦茬丛中或叶稍里，有的随麦捆运到麦场越夏或越冬。新垦麦地、春小麦及晚熟品种受害重,未提及,(1)合理轮作倒茬。(2)适时早播，躲过为害盛期。(3)秋季或麦收后及时进行深耕，清除麦场四周杂草，破坏其越冬场所，可压低越冬虫口基数。(4)在小麦孕穗期，大批蓟马成虫飞到麦田产卵时，及时喷洒20％丁硫克百威乳油或10％吡虫啉可湿性粉剂、1.8％爱比菌素乳油、10％除尽乳油2000倍液，667m²喷对好的药液75kg。(5)在小麦扬花期，注意防治初孵若虫。可喷洒2.5％保得乳油2500倍液或10％大功臣可湿性粉剂，每667m²用有效成分2g，或44％多虫清乳油每667m² 30ml，对水60kg喷雾,未提及
玉米蚜（麦蚰、腻虫、蚁虫）,全国各地,小麦、玉米等,成、若蚜刺吸植物组织汁液，引致叶片变黄或发红，影响生长发育，严重时植株枯死。玉米蚜多群集在心叶，为害叶片时分泌蜜露，产生黑色霉状物。在紧凑型玉米上主要为害雄花和上层1 - 5叶，下部叶受害轻，刺吸玉米的汁液，致叶片变黄枯死，常使叶面生霉变黑，影响光合作用，降低粒重，并传播病毒病造成减产,无翅孤雌蚜体长卵形，长1.8 - 2.2mm，活虫深绿色，披薄白粉，附肢黑色，复眼红褐色。腹部第7节毛片黑色，第8节具背中横带，体表有网纹。触角、喙、足、腹管、尾片黑色。触角6节，长短于体长1／3。喙粗短，不达中足基节，端节为基宽1．7倍。腹管长圆筒形，端部收缩，腹管具覆瓦状纹。尾片圆锥状，具毛4 - 5根。有翅孤雌蚜长卵形，体长1.6 - 1.8mm，头、胸黑色发亮，腹部黄红色至深绿色。触角6节比身体短。腹部2 - 4节各具1对大型缘斑，第6、7节上有背中横带，8节中带贯通全节。其他特征与无翅型相似。卵椭圆形,在长江流域年生20多代，冬季以成、若蚜在大麦心叶或以孤雌成、若蚜在禾本科植物上越冬。翌年3、4月开始活动为害，4、5月麦子黄熟期产生大量有翅迁移蚜，迁往春玉米、高粱、水稻田繁殖为害。该蚜虫终生营孤雌生殖，虫口数量增加很快。华北5 - 8月为害严重。高温干旱年份发生多。在江苏，玉米蚜苗期开始为害、6月,未提及,(1)采用麦棵套种玉米栽培法比麦后播种的玉米提早10 - 15天，能避开蚜虫繁殖的盛期，可减轻为害。(2)在预测预报基础上，根据蚜量，查天敌单位占蚜量的百分比及气候条件及该蚜发生情况，确定用药种类和时期。(3)用玉米种子重量0．1％的10％吡虫啉可湿粉剂浸拌种，播后25天防治苗期蚜虫、蓟马、飞虱效果优异。(4)玉米进入拔节期，发现中心蚜株可喷撒0．5％乐果粉剂或40％乐果乳油1500倍液。当有蚜株率达30％ - 40％，出现“起油株”(指蜜露)时应进行全田普治，一是撤施乐果毒砂，每667m²用40％乐果乳油50g对水500L稀释后喷在20kg细砂土上，边喷边拌，然后把拌匀的毒砂均匀地撒在植株上。也可喷洒25％爱卡士或50％辛硫磷乳油1000倍液，每667m²用药量50g或喷撒1．5％1605粉剂，每667m² 2 - 3kg。(5)用呋喃丹灌心。在玉米大喇叭口末期，每667m²用3％映喃丹颗粒剂1．5kg，均匀的灌入玉米心内，若怕灌不均匀，可在呋喃丹中掺入2 - 3kg细砂混匀后进行。此外还可在喇叭口内撤施1605颗粒剂每667m² 5kg，颗粒剂制法用50％1605乳剂500g，拌入颗料50kg，可兼治蓟马、玉米螟、粘虫等。此外还可选用40．64％加保扶水悬剂800倍液或10％吡虫啉可湿性粉剂2000倍液、10％赛波凯乳油2500倍液、2．5％保得乳油2000 - 3000倍液、20％康福多浓可溶剂3000 - 4000倍液,未提及
秀夜蛾（Amphipoea fucosa(Freyer)）,东北、华北、西北、西藏高原、长江中下游及华东麦区,小麦,幼虫喜在水浇地、下湿滩地及粘壤土地块为害，3龄前钻茎为害，4龄后从麦秆的地下部咬烂入土，栖息在薄茧内继续为害附近麦株，致小麦呈现枯心或全株死亡，造成缺苗断垄,成虫体长13 - 16mm，翅展30 - 36mm，头部、胸部黄褐色，腹背灰黄色，腹面黄褐色，前翅锈黄至灰黑色，基线色浅，内线、外线各2条，中线1条，共5条褐线且明显。环纹、肾纹白色至锈黄色，上生褐色细纹，边缘暗褐色，亚端线色浅，外缘褐色，缘毛黄褐色。后翅灰褐色，缘毛、翅反面灰黄色。卵半圆形，初白色，3、4天后变为褐色。末龄幼虫体长30 - 35mm，灰白色，头黄色，四周具黑褐色边，从中间至后缘生黑褐色斑4个，从前胸后缘至腹部第9节的背中线两侧各具红褐色宽带1条。亚背线略细，气门线较粗，均为红褐色。腹部第8节前后各生黑褐色斑2块，第9腹节背面生黑褐色斑6块，中间2块大。蛹棕褐色，2根尾刺，末端呈弯钩状,北方春麦区年生1代，以卵越冬，翌年5月上、中旬孵化,未提及,(1)合理轮作，深翻土地除茬灭卵，集中烧毁可减少虫源。翻地深度超过15cm，翌年初孵幼虫大部分不能出土。(2)在小麦三叶期浇水，这时正值初孵幼虫为害盛期，浇水后可减轻为害。(3)在成虫盛发期，大面积设置黑光灯诱杀成虫在产卵之前。(4)发生严重地区或田块，随播种施4％辛硫磷颗粒剂或0.5％硫环磷颗粒剂，每667m² 2 - 3kg，对初孵幼虫防效80％以上。(5)幼虫期可用80％晶体敌百虫1000倍液或36％克蜗蝇乳油1000 - 1500倍液灌根,未提及
绿翅脊萤叶甲（绿翅短鞘萤叶甲）,青海、四川、西藏,小麦、大麦,以幼虫蛀入正处在分蘖阶段的麦苗根部茎节内，取食嫩茎的内壁组织，致受害苗变为灰绿色，苗心枯死，基部叶片增厚，常成团或成片受害，边际受害重，造成小麦、大麦缺苗,成虫体长3.5 - 6mm，宽1.9 - 2.5mm，初羽化成虫有变色现象，羽化后6 - 8小时鞘翅为金绿色，24小时多变为黑色，前胸背板黄褐色。触角粗壮，第3节长于第2节，第4节长于第3节，1 - 7节黄褐色，8 - 11节黑色。头部具较深的中沟，上唇略大，前缘中部凹陷很深，触角间平，额瘤光滑；头顶平，生有粗刻点及短卧毛；前胸背板四周有边框；盘区有凹洼3个；小盾片基部较宽，端部窄；鞘翅皮革状，横纹和短毛密布，刻点较粗，肩甲突出。足粗短。雄虫腹部末端中部有宽凹切，雌虫腹端中部平切。末龄幼虫体长9.8 - 11.8mm。初孵幼虫暗灰色至黄色。头、前胸背板、臀板黑褐色，质地较硬。中部各节背面具大小不等形状各异的黑褐色斑点。尾节具瘤状凸起2个。裸蛹长0.3 - 0.5mm，初乳白色，后变鲜黄色至金黄色,四川白玉县年生1代，以卵在土内越冬，卵期平均为279天，成虫于每年的7月下旬至8月下旬产卵，于翌年4月下旬至6月上旬孵化，幼虫于6月下旬至9月下旬化蛹，蛹期9 - 18天。成虫于产卵后3 - 15天死亡。成虫期17 - 68天。成虫有群集取食的习性，喜在田边40m范围内的艾篙、冷篙、臭篙、大蓟上取食，有群集性转移为害习性，有假死性。雌虫生长迅速，雌、雄交尾一次完成需时5 - 7分钟。该虫后翅退化，不能飞行，主要靠爬行，活动范围不大，产卵量14 - 140粒,未提及,(1)在成虫取食阶段尚未产卵时，喷洒2.5％敌杀死乳油2000倍液或5％灭扫利乳油2000倍液、5％来福灵乳油3000倍液、20％菊马乳油1500倍液、21％灭杀毙乳油3000倍液。(2)在上年受害严重麦田的边际受害重的地方，喷撤3％映喃丹颗粒剂或3％甲基异柳磷颗粒剂或4.5％甲敌粉剂，每667m²用药3kg，拌细土20 - 30kg，于播种前撒在土面上，随即耕翻或耙耱。(3)及时清除田间杂草，并铲除地块边际直径50m内的篙类、大蓟等杂草，切断成虫食源也是一种有效的农业防治法,未提及
西北麦蝽（Aelia sibirica Reuter）,北起黑龙江、内蒙古、新疆，南至山西、陕西、甘肃、青海,小麦,成、若虫刺吸寄主叶片汁液，受害麦苗出现枯心或叶面上出现白斑，后扭曲成辫子状，出现白穗和秕粒,成虫体长9 - 11mm，黄褐色，具黑白纵条纹，头向下倾，前端尖且分裂。小盾片特发达似舌状，长度超过腹背中央。卵馒头形，红褐色。若虫体大部乃至全体黑色，复眼红色，腹节之间为黄色,宁夏年生2 - 3代，以成虫在芨芨草基部越冬。翌年4月下旬开始活动，5月初迁进麦田为害麦苗，5月上旬在麦苗下部叶尖或地表的枯枝残叶上产卵，11 - 12粒排成单列，5月中旬孵化成若虫继续为害，小麦成熟时成虫又飞回越冬杂草上，进入10月间开始潜伏越冬,未提及,(1)在越冬虫恢复活动以前，清除麦田附近的芨芨草深埋或烧毁，以减少虫源。(2)必要时，用2.5％敌百虫粉1kg，拌细砂20kg，撒入草丛。(3)在成虫为害高峰期，向麦苗或芨芨草上喷撒2.5％敌百虫粉，每667m²用1.5 - 2kg。10天后再喷1次，消灭初孵若虫。(4)必要时可喷洒2.5％保得乳油2500倍液,未提及
麦二叉蚜（Schizaphis graminum (Rondani)）,全国各地,小麦,常在麦类叶片正、反两面或基部叶鞘内外吸食汁液，致麦苗黄枯或伏地不能拔节，严重的麦株不能正常抽穗，直接影响产量，此外还可传带小麦黄矮病,无翅孤雌蚜体长2.0mm，卵圆形，淡绿色，背中线深绿色，腹管浅绿色，顶端黑色。中胸腹岔具短柄。额瘤较中额瘤高。触角6节，全长超过体之半，喙超过中足基节，端节粗短，长为基宽的1.6倍。腹管长圆筒形，尾片长圆锥形，长为基宽的1.5倍，有长毛5 - 6根。有翅孤雌蚜体长1.8mm，长卵形。活时绿色，背中线深绿色。头、胸黑色，腹部色浅。触角黑色共6节，全长超过体之半。触角第3节具4 - 10个小圆形次生感觉圈，排成一列。前翅中脉二叉状,麦二叉蚜生活习性与长管蚜相似，年生20 - 30代，具体代数因地而异。冬春麦混种区和早播冬麦田种群消长动态：秋苗出土后开始迁入麦田繁殖，3叶期至分蘖期出现一个小高峰，进入11月上旬以卵在冬麦田残茬上越冬。翌年3月上中旬越冬卵孵化，在冬麦上繁殖几代后，有的以无翅胎生雌蚜继续繁殖，有的产生有翅胎生蚜在冬麦田繁殖扩展，4月中旬有些迁入到春麦上，5月上中旬大量繁殖，出现为害高峰期，并可引起黄矮病流行。麦二叉蚜在10 - 30℃发育速度与温度正相关，7℃以下存活率低，22℃胎生繁殖快，30℃生长发育最快，42℃迅速死亡。该蚜虫在适宜条件下，繁殖力强，发育历期短，在小麦拔节、孕穗期，虫口密度迅速上升，常在15 - 20天，百株蚜量可达万头以上,未提及,同麦长管蚜（预测预报。当孕穗期有蚜株率达50％，百株平均蚜量200 - 250头或灌浆初期有蚜株率70％，百株平均蚜量500头时即应进行防治。农业防治法：选用抗虫品种；合理布局；适时集中播种；合理施肥浇水。生物防治：减少或改进施药方法，避免杀伤麦田天敌。充分利用瓢虫、食蚜蝇、草蛉、蚜茧蜂等天敌，测定天敌控蚜指标，把该指标与化防指标、当量系统结合起来，为充分发挥天敌作用提供保证。必要时可人工繁殖释放或助迁天敌；使其有效地控制蚜虫。当天敌不能控制麦蚜时再选用0.2％苦参碱(克蚜素)水剂400倍液或杀蚜霉素(孢子含量200万个／ml)250倍液、50％辟蚜雾或40％氧乐果2000倍液，杀蚜效果90％左右，且能保护天敌。上述措施不能奏效的地区或田块可采用以下综防措施：在小麦黄矮病流行区主要是苗期治蚜；在非黄矮病流行期，重点防治穗期麦蚜等）,瓢虫、食蚜蝇、草蛉、蜘蛛、蚜茧峰、蚜霉菌等
麦凹胫跳甲（Chaetocnema hortensis Geoff）,北起黑龙江、内蒙古，南限稍过长江，最南浙江金华、江西临川，东邻国境线，西向陕西、甘肃、青海一带,麦、稻,未提及（文档中仅表明与粟凹胫跳甲近似，未详细描述其为害特征）,未提及（文档中表明参考粟凹胫跳甲，但未详细描述其形态特征）,未提及（文档中表明参考粟凹胫跳甲，但未详细描述其生活习性）,未提及,未提及（文档中表明参考粟凹胫跳甲，但未详细描述其防治措施）,未提及
